regen_status,area_ha,orig_fid,grove_name,grove_grou,land_stewa,land_ste_1,grove_elem,comments,shape_leng,shape_area,timeframe,perc_area_imm
Longterm regeneration risk,52.97,55,Mountain Home,NA,4,"Cal-Fire, USFS SQF GSNM, Tulare County, Private",18,Peripheral OTI Only,56454.9276075,11336944.8171,longterm,NA
Longterm regeneration risk,0.11,15,Monache Tubs,Case Mountain,2,"Private, DOI BLM",2,OTI,3037.02118398,101992.438285,longterm,NA
Immediate: Low end of high severity - likely ok,0.03,1,Abbott,NA,1,USFS SQF GSNM,1,OTI,953.885464821,32546.0958977,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.87,2,Agnew,NA,1,USFS SQF GSNM,2,OTI,1242.60234143,40538.099151,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,69.77,3,Alder Creek,NA,3,"USFS SQF GSNM, Save the Redwoods League, Private",5,Peripheral OTI Only,11052.9384233,2253403.03338,immediate,14.876780032182799
Immediate postfire regen risk,9.02,3,Alder Creek,NA,3,"USFS SQF GSNM, Save the Redwoods League, Private",5,Peripheral OTI Only,11052.9384233,2253403.03338,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,9.88,4,Atwell,NA,2,"NPS SEKI, Private",8,STI & OTI; highest elevation SEGI NW021730-O1,36338.5010525,3704025.67404,immediate,14.876780032182799
Immediate postfire regen risk,0.1,4,Atwell,NA,2,"NPS SEKI, Private",8,STI & OTI; highest elevation SEGI NW021730-O1,36338.5010525,3704025.67404,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,153.05,6,Wheel Meadow,Belknap Complex,1,USFS SQF GSNM,2,OTI,20878.0790893,2332426.71451,immediate,14.876780032182799
Immediate postfire regen risk,32.51,6,Wheel Meadow,Belknap Complex,1,USFS SQF GSNM,2,OTI,20878.0790893,2332426.71451,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,88.03,9,Black Mountain,NA,3,"USFS SQF GSNM, TRIR, Private",16,Peripheral OTI Only,42247.8573615,5284304.68141,immediate,14.876780032182799
Immediate postfire regen risk,2.58,9,Black Mountain,NA,3,"USFS SQF GSNM, TRIR, Private",16,Peripheral OTI Only,42247.8573615,5284304.68141,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,11.99,10,Board Camp,NA,1,NPS SEKI,1,STI & OTI,3535.54128487,195127.370044,immediate,14.876780032182799
Immediate postfire regen risk,5.8,10,Board Camp,NA,1,NPS SEKI,1,STI & OTI,3535.54128487,195127.370044,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.14,11,Burro Creek,NA,2,"USFS SQF GSNM, Cal-Fire",2,Peripheral OTI Only,9692.89056083,459067.184161,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,2.71,17,Nutmeg,Case Mountain,2,"Private, DOI BLM",2,OTI,4599.47130464,265791.302568,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,13.26,18,Castle Creek,NA,1,NPS SEKI,5,STI & OTI,16157.2586912,885128.291166,immediate,14.876780032182799
Immediate postfire regen risk,0.05,18,Castle Creek,NA,1,NPS SEKI,5,STI & OTI,16157.2586912,885128.291166,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.16,19,Cedar Flat,NA,1,NPS SEKI,2,STI & OTI,3031.72770557,61563.9796164,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,2.06,20,Cherry Gap,NA,1,USFS SQF GSNM,4,Peripheral OTI Only,3593.97229208,257386.662694,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,5.64,23,Hoist Ridge,Converse Basin,1,USFS SQF GSNM,1,Peripheral OTI Only; 1955 McGee Fire 2nd Growth,6880.45617674,202727.251365,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,53.8,24,Converse Basin,Converse Basin,1,USFS SNF & SQF GSNM,6,Peripheral OTI Only,32922.1214222,6246940.29948,immediate,14.876780032182799
Immediate postfire regen risk,2.06,24,Converse Basin,Converse Basin,1,USFS SNF & SQF GSNM,6,Peripheral OTI Only,32922.1214222,6246940.29948,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.5,25,Converse Saddle,Converse Basin,1,USFS SNF & SQF GSNM,1,Peripheral OTI Only; Boole Tree SE051328-E18,1813.65879663,93680.4732359,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,6.04,26,Cabin Creek,Converse Basin,1,USFS SNF & SQF GSNM,2,Peripheral OTI Only,7320.88120636,605881.894859,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,11.65,28,Deer Creek,NA,1,USFS SQF GSNM,2,OTI; Southern-most grove,2684.89432218,141657.221503,immediate,14.876780032182799
Immediate postfire regen risk,0.44,28,Deer Creek,NA,1,USFS SQF GSNM,2,OTI; Southern-most grove,2684.89432218,141657.221503,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,1.52,29,Deer Meadow,NA,1,USFS SQF GSNM,5,OTI,3645.63868114,251876.871885,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,55.85,32,Dillonwood,NA,2,"NPS SEKI, USFS SQF GSNM",9,OTI,63571.7921963,4208560.75091,immediate,14.876780032182799
Immediate postfire regen risk,8.31,32,Dillonwood,NA,2,"NPS SEKI, USFS SQF GSNM",9,OTI,63571.7921963,4208560.75091,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,1.62,34,East Fork,NA,2,"NPS SEKI, Private",6,STI & OTI,22441.6706451,3003075.25876,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.39,35,Eden Creek,NA,1,NPS SEKI,6,STI & OTI,19696.0264405,1760455.57536,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,55.52,36,Evans,Evans,1,USFS SQF GSNM,7,Peripheral OTI Only,33872.8615157,3878237.96481,immediate,14.876780032182799
Immediate postfire regen risk,6.83,36,Evans,Evans,1,USFS SQF GSNM,7,Peripheral OTI Only,33872.8615157,3878237.96481,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.17,37,Forgotten,NA,1,NPS SEKI,1,OTI,460.126423792,7394.491681,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,192.21,38,Freeman Creek,NA,1,USFS SQF GSNM,9,Peripheral OTI Only,43215.7860743,5718214.3105,immediate,14.876780032182799
Immediate postfire regen risk,174.91,38,Freeman Creek,NA,1,USFS SQF GSNM,9,Peripheral OTI Only,43215.7860743,5718214.3105,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,19.17,39,Garfield,NA,1,NPS SEKI,12,STI & OTI,37371.5616026,4989544.04462,immediate,14.876780032182799
Immediate postfire regen risk,4.22,39,Garfield,NA,1,NPS SEKI,12,STI & OTI,37371.5616026,4989544.04462,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,4.12,40,Giant Forest,NA,1,NPS SEKI,4,STI & OTI,42047.2091894,8526487.4845,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,22.17,42,Homers Nose,NA,1,NPS SEKI,1,STI & OTI,9366.18839075,481078.874528,immediate,14.876780032182799
Immediate postfire regen risk,6.02,42,Homers Nose,NA,1,NPS SEKI,1,STI & OTI,9366.18839075,481078.874528,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,26.63,47,Long Meadow,NA,1,USFS SQF GSNM,1,Peripheral OTI Only,11583.6117413,866862.954903,immediate,14.876780032182799
Immediate postfire regen risk,1.06,47,Long Meadow,NA,1,USFS SQF GSNM,1,Peripheral OTI Only,11583.6117413,866862.954903,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.03,50,Mariposa,NA,1,NPS Yosemite,5,Peripheral OTI Only; NPS GNSS Data,11377.0048403,1094124.6667,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,4.65,53,Middle Tule,NA,2,"Cal-Fire, USFS SQF GSNM",2,"Peripheral OTI, Partial OTI",26052.139177,1944748.80275,immediate,14.876780032182799
Immediate postfire regen risk,0.19,53,Middle Tule,NA,2,"Cal-Fire, USFS SQF GSNM",2,"Peripheral OTI, Partial OTI",26052.139177,1944748.80275,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,4.81,56,Muir,NA,1,NPS SEKI,2,STI & OTI,7875.33071429,991461.754736,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,19.76,57,Nelder,NA,2,"USFS SNF, Private",5,Peripheral OTI Only; some GNSS data,16886.5260174,1338741.64736,immediate,14.876780032182799
Immediate postfire regen risk,4.66,57,Nelder,NA,2,"USFS SNF, Private",5,Peripheral OTI Only; some GNSS data,16886.5260174,1338741.64736,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,2.05,58,New Oriole Lake,NA,1,NPS SEKI,1,STI & OTI,2629.4702784,59664.5271316,immediate,14.876780032182799
Immediate postfire regen risk,0.02,58,New Oriole Lake,NA,1,NPS SEKI,1,STI & OTI,2629.4702784,59664.5271316,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.56,59,Oriole Lake,NA,1,NPS SEKI,4,STI & OTI,8841.11109279,594844.87339,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,28.16,60,Packsaddle,NA,1,USFS SQF GSNM,2,Peripheral OTI,11601.0661172,707495.505896,immediate,14.876780032182799
Immediate postfire regen risk,0.74,60,Packsaddle,NA,1,USFS SQF GSNM,2,Peripheral OTI,11601.0661172,707495.505896,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,18.44,61,Peyrone,NA,2,"USFS SQF GSNM, TRIR",8,Peripheral OTI,15241.7040627,917231.922259,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.14,62,Pine Ridge,NA,1,NPS SEKI,4,STI & OTI,5301.09444182,177407.07184,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,63,64,Redhill,NA,3,"USFS SQF GSNM, Save the Redwoods League, TRIR",3,Peripheral OTI; StRL tree data available,11721.0828756,1736114.75599,immediate,14.876780032182799
Immediate postfire regen risk,6.74,64,Redhill,NA,3,"USFS SQF GSNM, Save the Redwoods League, TRIR",3,Peripheral OTI; StRL tree data available,11721.0828756,1736114.75599,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.84,65,Redwood Creek,NA,1,NPS SEKI,3,STI & OTI,5210.05359665,193167.03757,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,1.23,68,Silver Creek,NA,1,"USFS SQF GSNM, Cal-Fire",4,Peripheral OTI,7446.38729182,251395.541457,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.74,69,Skagway,NA,1,NPS SEKI,2,STI & OTI,4767.62957587,246727.887371,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,2.52,70,South Fork,NA,1,NPS SEKI,1,STI & OTI,15018.6107756,976668.342806,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,5.95,71,South Peyrone,NA,2,"USFS SQF GSNM, TRIR",1,OTI,2440.92548541,130928.797837,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.27,72,Squirrel Creek,NA,1,NPS SEKI,4,STI & OTI,1736.79432301,28288.8288466,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,9.34,73,Starvation Creek,NA,1,USFS SQF GSNM,4,OTI,3594.43419272,102147.241589,immediate,14.876780032182799
Immediate postfire regen risk,0.52,73,Starvation Creek,NA,1,USFS SQF GSNM,4,OTI,3594.43419272,102147.241589,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.99,74,Surprise,NA,1,NPS SEKI,3,STI & OTI,3784.92784345,90964.6306447,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,8.33,75,Suwanee,NA,1,NPS SEKI,1,STI & OTI,4404.85124573,279251.526445,immediate,14.876780032182799
Immediate postfire regen risk,0.02,75,Suwanee,NA,1,NPS SEKI,1,STI & OTI,4404.85124573,279251.526445,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,228.33,79,Redwood Mountain,NA,4,"NPS SEKI, UC Berekeley, USFS SQF GSNM, Private",9,STI & Peripheral OTI,78407.6666652,10588863.6229,immediate,14.876780032182799
Immediate postfire regen risk,37.23,79,Redwood Mountain,NA,4,"NPS SEKI, UC Berekeley, USFS SQF GSNM, Private",9,STI & Peripheral OTI,78407.6666652,10588863.6229,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.88,81,Dillonwood - West,NA,1,USFS SQF GSNM,1,OTI,595.545793542,16558.3398592,immediate,14.876780032182799
Immediate postfire regen risk,0.01,81,Dillonwood - West,NA,1,USFS SQF GSNM,1,OTI,595.545793542,16558.3398592,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,3.01,85,Verplank,Converse Basin,1,USFS SQF GSNM,1,OTI,3267.85428328,106172.911123,immediate,14.876780032182799
Immediate postfire regen risk,1.14,85,Verplank,Converse Basin,1,USFS SQF GSNM,1,OTI,3267.85428328,106172.911123,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,10.22,86,Converse Mountain,Converse Basin,1,USFS SNF & SQF GSNM,2,OTI,4133.40375616,134771.813367,immediate,14.876780032182799
Immediate postfire regen risk,2.65,86,Converse Mountain,Converse Basin,1,USFS SNF & SQF GSNM,2,OTI,4133.40375616,134771.813367,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,10.81,87,Lockwood,Evans,1,USFS SQF GSNM,5,OTI,5472.71748695,266533.070012,immediate,14.876780032182799
Immediate postfire regen risk,0.03,87,Lockwood,Evans,1,USFS SQF GSNM,5,OTI,5472.71748695,266533.070012,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.2,88,Little Boulder,Evans,1,USFS SQF GSNM,2,Peripheral OTI Only,4357.06160344,305627.629409,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,10.51,89,Kennedy,Evans,1,USFS SQF GSNM,3,Peripheral OTI Only,11219.9664875,733107.156977,immediate,14.876780032182799
Immediate postfire regen risk,0.3,89,Kennedy,Evans,1,USFS SQF GSNM,3,Peripheral OTI Only,11219.9664875,733107.156977,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,54.46,91,McIntyre,Belknap Complex,1,USFS SQF GSNM,2,OTI,13388.6890499,1128996.56412,immediate,14.876780032182799
Immediate postfire regen risk,5.33,91,McIntyre,Belknap Complex,1,USFS SQF GSNM,2,OTI,13388.6890499,1128996.56412,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,1.62,92,Carr Wilson,Belknap Complex,1,USFS SQF GSNM,4,OTI,4858.91886506,53648.7980315,immediate,14.876780032182799
Immediate postfire regen risk,0.5,92,Carr Wilson,Belknap Complex,1,USFS SQF GSNM,4,OTI,4858.91886506,53648.7980315,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,12.2,93,Belknap Camp,Belknap Complex,2,"USFS SQF GSNM, Private",3,OTI,12861.6917338,405147.282635,immediate,14.876780032182799
Immediate postfire regen risk,2.36,93,Belknap Camp,Belknap Complex,2,"USFS SQF GSNM, Private",3,OTI,12861.6917338,405147.282635,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,7.82,94,General Grant,NA,2,"NPS SEKI, USFS SQF GSNM",6,STI & Partial OTI,9481.41328348,677651.957603,immediate,14.876780032182799
Immediate postfire regen risk,0.39,94,General Grant,NA,2,"NPS SEKI, USFS SQF GSNM",6,STI & Partial OTI,9481.41328348,677651.957603,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,182.58,55,Mountain Home,NA,4,"Cal-Fire, USFS SQF GSNM, Tulare County, Private",18,Peripheral OTI Only,56454.9276075,11336944.8171,immediate,14.876780032182799
Immediate postfire regen risk,11.61,55,Mountain Home,NA,4,"Cal-Fire, USFS SQF GSNM, Tulare County, Private",18,Peripheral OTI Only,56454.9276075,11336944.8171,immediate,3.2405204984307336
Immediate: Low end of high severity - likely ok,0.69,15,Coffee Pot,Case Mountain,2,"Private, DOI BLM",1,OTI,2271.62052195,147059.56399,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,3.3,15,Monache Tubs,Case Mountain,2,"Private, DOI BLM",2,OTI,3037.02118398,101992.438285,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.06,15,Ladybug,Case Mountain,2,"Private, DOI BLM",1,OTI,568.372173181,8898.77503527,immediate,14.876780032182799
Immediate: Low end of high severity - likely ok,0.01,15,Salt Creek Ridge,Case Mountain,2,"Private, DOI BLM",1,OTI,3196.20191037,117203.217705,immediate,14.876780032182799
